Browser,Sessions,Purchases,AvgProductPages,MedianProductPages,AvgProductDuration,MedianProductDuration,AvgBounceRate,AvgExitRate,ConversionRate,SessionShare,SampleAtLeast100
1,2462,365,24.40536149,14.00000000,899.99581544,469.95833335,0.02617301,0.04674938,0.14825345,0.19967559,True
2,7961,1223,34.79273961,20.00000000,1312.14161237,659.63611110,0.02136520,0.04192748,0.15362392,0.64566099,True
3,105,5,16.41904762,8.00000000,713.40357377,437.83333330,0.03760325,0.05855217,0.04761905,0.00851582,True
4,736,130,30.44972826,17.00000000,1159.44733976,610.50000000,0.01715506,0.03974063,0.17663043,0.05969181,True
5,467,86,31.33404711,18.00000000,1174.63541951,669.93333330,0.01964335,0.04236710,0.18415418,0.03787510,True
6,174,20,29.87356322,23.00000000,1191.93460187,700.08452385,0.01848316,0.04341494,0.11494253,0.01411192,True
7,49,6,25.69387755,17.00000000,945.49062900,473.50000000,0.02128253,0.04417054,0.12244898,0.00397405,False
8,135,21,18.02222222,13.00000000,624.01330438,398.69444440,0.03112413,0.05257357,0.15555556,0.01094891,True
9,1,0,10.00000000,10.00000000,1169.10000000,1169.10000000,0.02000000,0.05000000,0.00000000,0.00008110,False
10,163,32,32.86503067,20.00000000,1220.38639556,614.75000000,0.01491388,0.03783560,0.19631902,0.01321979,True
11,6,1,12.16666667,10.50000000,822.40551588,484.50416665,0.01309524,0.04391534,0.16666667,0.00048662,False
12,10,3,17.20000000,11.50000000,699.97950246,563.53373015,0.02585740,0.05033732,0.30000000,0.00081103,False
13,61,16,14.88524590,7.00000000,699.38839474,302.00000000,0.03437281,0.05284248,0.26229508,0.00494728,False
