SessionID,RevenueFlag,VisitorType,TrafficType,Month,Weekend,ProductRelated,ProductRelated_Duration,ProductDepthGroup,ProductDurationGroup,BounceRates,ExitRates,HighBounceSession,HighExitSession
5153,0,Returning_Visitor,14,May,True,705,43171.23338000,50及以上,高,0.00485129,0.01543144,False,False
6685,0,Returning_Visitor,1,Aug,False,686,23342.08205000,50及以上,高,0.00985330,0.02277136,False,False
8309,0,Returning_Visitor,8,Nov,False,584,24844.15620000,50及以上,高,0.00209938,0.00934694,False,False
6788,0,Returning_Visitor,2,Oct,False,518,11976.72135000,50及以上,高,0.00003830,0.00383726,False,False
6166,0,Returning_Visitor,3,Jul,False,486,23050.10414000,50及以上,高,0.00032372,0.01124852,False,False
8072,0,Returning_Visitor,2,Dec,False,449,63973.52223000,50及以上,高,0.00076441,0.02770134,False,False
4675,0,Returning_Visitor,20,May,True,440,9951.86913900,50及以上,高,0.00185022,0.01009842,False,False
5917,0,Returning_Visitor,13,Sep,False,439,21857.04648000,50及以上,高,0.00358863,0.01249761,False,False
6675,0,Returning_Visitor,1,Sep,False,429,9661.58576300,50及以上,高,0.00304414,0.01254721,False,False
9902,0,Returning_Visitor,1,Nov,True,423,17086.23424000,50及以上,高,0.00629371,0.02159902,False,False
7663,0,Returning_Visitor,13,Sep,False,414,23888.81000000,50及以上,高,0.00990033,0.02706202,False,False
7829,0,Returning_Visitor,13,Jul,True,409,9100.40295900,50及以上,高,0.00430107,0.01593473,False,False
8231,0,Returning_Visitor,1,Nov,False,391,15025.23302000,50及以上,高,0.00151515,0.01014062,False,False
8631,0,Returning_Visitor,3,Nov,False,385,14505.72725000,50及以上,高,0.00731000,0.01351994,False,False
12142,0,Returning_Visitor,2,Nov,False,378,12003.31758000,50及以上,高,0.00365535,0.02335299,False,False
11513,0,Returning_Visitor,2,Nov,True,374,12499.37711000,50及以上,高,0.00198939,0.01078246,False,False
4254,0,Returning_Visitor,19,May,True,362,13259.29396000,50及以上,高,0.00288338,0.00883761,False,False
6993,0,Returning_Visitor,1,June,False,358,9760.69048800,50及以上,高,0.00083095,0.00409421,False,False
9710,0,Returning_Visitor,3,Nov,False,351,8650.04877100,50及以上,高,0.01245213,0.02737241,False,False
9807,0,Returning_Visitor,10,Nov,False,349,6879.80182600,50及以上,高,0.00056818,0.00430634,False,False
9239,0,Returning_Visitor,2,Dec,False,343,29970.46597000,50及以上,高,0.00531586,0.02897116,False,False
8439,0,Returning_Visitor,2,Nov,False,340,10902.45826000,50及以上,高,0.00171321,0.01573496,False,False
11131,0,Returning_Visitor,2,Nov,False,339,16138.29080000,50及以上,高,0.00477894,0.02019381,False,False
9577,0,Returning_Visitor,2,Nov,False,337,11835.10389000,50及以上,高,0.00522838,0.01571945,False,False
11805,0,Returning_Visitor,2,Nov,False,337,11231.41012000,50及以上,高,0.00247280,0.01323352,False,False
1856,0,Returning_Visitor,1,Mar,False,328,9694.26071400,50及以上,高,0.00178042,0.01090505,False,False
11057,0,Returning_Visitor,2,Nov,False,315,11232.65691000,50及以上,高,0.00316456,0.01925258,False,False
