Month,MonthOrder,Sessions,Purchases,AvgProductPages,MedianProductPages,AvgProductDuration,MedianProductDuration,AvgBounceRate,AvgExitRate,ConversionRate,SessionShare
Feb,2,184,3,11.18478261,6.00000000,471.01464727,214.91666665,0.04702138,0.07414829,0.01630435,0.01492295
Mar,3,1907,192,19.80859990,13.00000000,812.28299183,438.43333330,0.02172779,0.04459957,0.10068170,0.15466342
May,5,3364,365,26.48781213,17.00000000,981.89305989,535.73333335,0.02686661,0.04884953,0.10850178,0.27283049
June,6,288,29,36.06597222,17.00000000,1213.37760405,464.31369045,0.03510175,0.05824238,0.10069444,0.02335766
Jul,7,432,66,36.40740741,19.50000000,1217.60402834,542.16369050,0.02467647,0.04533036,0.15277778,0.03503650
Aug,8,433,76,38.25866051,22.00000000,1272.65365432,684.60000000,0.01821082,0.03772667,0.17551963,0.03511760
Sep,9,448,86,33.10491071,20.00000000,1253.38815020,613.74976190,0.01218306,0.03032050,0.19196429,0.03633414
Oct,10,549,115,33.56648452,21.00000000,1116.97768449,572.87333330,0.01184944,0.02901140,0.20947177,0.04452555
Nov,11,2998,760,46.03869246,25.00000000,1758.39792198,926.44940475,0.01925880,0.03820220,0.25350233,0.24314680
Dec,12,1727,216,27.99478865,17.00000000,1111.47072701,611.08333330,0.02014914,0.04130278,0.12507238,0.14006488
