TrafficType,Sessions,Purchases,AvgProductPages,MedianProductPages,AvgProductDuration,MedianProductDuration,AvgBounceRate,AvgExitRate,ConversionRate,SessionShare,VolumeLevel,ConversionLevel,OpportunityQuadrant,ExpectedPurchasesAtOverallRate,PurchaseGapToOverall,SampleAtLeast100
1,2451,262,31.91840065,18.00000000,1234.03417710,602.88333330,0.03234640,0.05570751,0.10689514,0.19878345,高流量,低转化,高流量低转化,379.27883212,117.27883212,True
2,3913,847,38.12522361,22.00000000,1457.94163715,776.01904760,0.00845478,0.02639141,0.21645796,0.31735604,高流量,高转化,高流量高转化,605.51532847,0.00000000,True
3,2052,180,25.80555556,14.00000000,892.75771241,408.90151515,0.03331398,0.05711674,0.08771930,0.16642336,高流量,低转化,高流量低转化,317.53576642,137.53576642,True
4,1069,165,28.52572498,20.00000000,988.94449665,606.50000000,0.01626130,0.03615537,0.15434986,0.08669911,高流量,低转化,高流量低转化,165.42189781,0.42189781,True
5,260,56,17.88461538,10.00000000,742.33102554,322.72916665,0.00945060,0.02967921,0.21538462,0.02108678,高流量,高转化,高流量高转化,40.23357664,0.00000000,True
6,444,53,29.60810811,17.00000000,1140.41800206,595.62500000,0.02210346,0.04541181,0.11936937,0.03600973,高流量,低转化,高流量低转化,68.70656934,15.70656934,True
7,40,12,29.17500000,19.00000000,1035.01261997,830.41666665,0.00782241,0.02481801,0.30000000,0.00324412,低流量,高转化,低流量高转化,6.18978102,0.00000000,False
8,343,95,26.12244898,13.00000000,1084.48898714,504.60000000,0.01149925,0.02963872,0.27696793,0.02781833,高流量,高转化,高流量高转化,53.07737226,0.00000000,True
9,42,4,14.73809524,9.00000000,541.79178474,291.10000000,0.02634118,0.04536630,0.09523810,0.00340633,低流量,低转化,低流量低转化,6.49927007,2.49927007,False
10,450,90,32.88888889,19.00000000,1258.30585362,689.40000000,0.01663332,0.03791018,0.20000000,0.03649635,高流量,高转化,高流量高转化,69.63503650,0.00000000,True
11,247,47,25.21052632,15.00000000,899.12739431,491.75000000,0.02221049,0.04375312,0.19028340,0.02003244,高流量,高转化,高流量高转化,38.22189781,0.00000000,True
12,1,0,3.00000000,3.00000000,15.00000000,15.00000000,0.00000000,0.06666667,0.00000000,0.00008110,低流量,低转化,低流量低转化,0.15474453,0.15474453,False
13,738,43,32.94715447,18.00000000,1266.75730573,564.69696970,0.04870807,0.07033267,0.05826558,0.05985401,高流量,低转化,高流量低转化,114.20145985,71.20145985,True
14,13,2,79.53846154,12.00000000,4211.23629548,565.00000000,0.00243380,0.02400562,0.15384615,0.00105434,低流量,低转化,低流量低转化,2.01167883,0.01167883,False
15,38,0,16.13157895,6.50000000,535.14555303,109.00000000,0.06992156,0.08975522,0.00000000,0.00308191,低流量,低转化,低流量低转化,5.88029197,5.88029197,False
16,3,1,15.33333333,16.00000000,603.26666677,360.00000000,0.00000000,0.01799799,0.33333333,0.00024331,低流量,高转化,低流量高转化,0.46423358,0.00000000,False
17,1,0,4.00000000,4.00000000,60.00000000,60.00000000,0.05000000,0.07500000,0.00000000,0.00008110,低流量,低转化,低流量低转化,0.15474453,0.15474453,False
18,10,0,13.90000000,9.50000000,503.22611990,326.07500000,0.03312834,0.05305532,0.00000000,0.00081103,低流量,低转化,低流量低转化,1.54744526,1.54744526,False
19,17,1,39.64705882,16.00000000,1511.36738641,636.00000000,0.02575081,0.04976154,0.05882353,0.00137875,低流量,低转化,低流量低转化,2.63065693,1.63065693,False
20,198,50,20.14646465,11.00000000,738.32808839,346.34166665,0.02753397,0.04754843,0.25252525,0.01605839,低流量,高转化,低流量高转化,30.63941606,0.00000000,True
