Scenario,Model,ActualClass,PredictedClass,Count
early_propensity,logistic_regression,0,0,1418
early_propensity,logistic_regression,0,1,666
early_propensity,logistic_regression,1,0,131
early_propensity,logistic_regression,1,1,251
early_propensity,decision_tree,0,0,1589
early_propensity,decision_tree,0,1,495
early_propensity,decision_tree,1,0,184
early_propensity,decision_tree,1,1,198
early_propensity,random_forest,0,0,1561
early_propensity,random_forest,0,1,523
early_propensity,random_forest,1,0,156
early_propensity,random_forest,1,1,226
late_session,logistic_regression,0,0,1892
late_session,logistic_regression,0,1,192
late_session,logistic_regression,1,0,111
late_session,logistic_regression,1,1,271
late_session,decision_tree,0,0,1947
late_session,decision_tree,0,1,137
late_session,decision_tree,1,0,128
late_session,decision_tree,1,1,254
late_session,random_forest,0,0,1915
late_session,random_forest,0,1,169
late_session,random_forest,1,0,105
late_session,random_forest,1,1,277
