Scenario,Model,ScoreBinLowToHigh,Sessions,Purchases,MeanScore,ObservedConversionRate,CalibrationGapObservedMinusScore
early_propensity,random_forest,1,247,2,0.01511487598,0.008097165992,-0.00701770999
early_propensity,random_forest,2,247,4,0.07006006121,0.01619433198,-0.05386572923
early_propensity,random_forest,3,246,5,0.1493240529,0.02032520325,-0.1289988497
early_propensity,random_forest,4,247,20,0.2231037644,0.08097165992,-0.1421321045
early_propensity,random_forest,5,246,40,0.2860300923,0.162601626,-0.1234284663
early_propensity,random_forest,6,247,36,0.3487534249,0.1457489879,-0.2030044371
early_propensity,random_forest,7,246,52,0.4106385717,0.2113821138,-0.1992564579
early_propensity,random_forest,8,247,52,0.4745911215,0.2105263158,-0.2640648057
early_propensity,random_forest,9,246,66,0.5478654807,0.2682926829,-0.2795727978
early_propensity,random_forest,10,247,105,0.6880341705,0.4251012146,-0.262932956
late_session,random_forest,1,247,0,0.01002961924,0,-0.01002961924
late_session,random_forest,2,247,0,0.03571723148,0,-0.03571723148
late_session,random_forest,3,246,3,0.06799155549,0.01219512195,-0.05579643354
late_session,random_forest,4,247,3,0.1007985149,0.01214574899,-0.08865276596
late_session,random_forest,5,246,4,0.1347208484,0.0162601626,-0.1184606858
late_session,random_forest,6,247,17,0.1818515986,0.06882591093,-0.1130256877
late_session,random_forest,7,246,13,0.2490529125,0.05284552846,-0.1962073841
late_session,random_forest,8,247,57,0.3963903645,0.2307692308,-0.1656211337
late_session,random_forest,9,246,103,0.6195044167,0.418699187,-0.2008052297
late_session,random_forest,10,247,182,0.8097877401,0.7368421053,-0.07294563487
