SessionID,RevenueFlag,BehaviorExclPageValuesOutOfSampleScore,BehaviorExclPageValuesScoreSource,PageValuesBenchmarkOutOfSampleScore,PageValuesBenchmarkScoreSource,BehaviorExclPageValuesPercentileAmongUnpurchased,HistoricalHighPotentialTop10Percent
1,0,0.008341869372,train_oof,0.004505806965,train_oof,0.03694108616,False
2,0,0.04845715427,test_holdout,0.04779534354,test_holdout,0.1420072923,False
3,0,0.02018858631,train_oof,0.015498659,train_oof,0.07752830551,False
4,0,0.03388798167,train_oof,0.02581735504,train_oof,0.1120706198,False
5,0,0.1089033667,test_holdout,0.06094607885,test_holdout,0.24505853,False
6,0,0.08575634744,test_holdout,0.04318613298,test_holdout,0.205718672,False
7,0,0.01305688246,train_oof,0.007840775377,train_oof,0.05497985032,False
8,0,0.1181533535,train_oof,0.1559204332,train_oof,0.2591633084,False
9,0,0.01926903368,train_oof,0.01721532361,train_oof,0.07474573019,False
10,0,0.2689905585,test_holdout,0.1311749614,test_holdout,0.489445404,False
11,0,0.08312831236,train_oof,0.05255015849,train_oof,0.201976588,False
12,0,0.1337525504,test_holdout,0.04460132002,test_holdout,0.2785453848,False
13,0,0.1136808618,train_oof,0.01978901323,train_oof,0.2523507964,False
14,0,0.02898804549,test_holdout,0.02000157392,test_holdout,0.09959700633,False
15,0,0.01670197367,train_oof,0.01205662977,train_oof,0.06697370946,False
16,0,0.2450884507,train_oof,0.07593173895,train_oof,0.4491460372,False
17,0,0.005658910546,test_holdout,0.006092708278,test_holdout,0.0232201113,False
18,0,0.3154522803,train_oof,0.1007916986,train_oof,0.562751871,False
19,0,0.01296996836,train_oof,0.0055946807,train_oof,0.05478794857,False
20,0,0.3225201307,train_oof,0.1403397386,train_oof,0.5743619267,False
21,0,0.2247675812,train_oof,0.107797083,train_oof,0.4176741508,False
22,0,0.01769759759,test_holdout,0.01311998573,test_holdout,0.07014008827,False
23,0,0.08673788205,train_oof,0.06767815366,train_oof,0.2067741316,False
24,0,0.03184580445,train_oof,0.01794312216,train_oof,0.1071771253,False
25,0,0.01073458413,train_oof,0.007426031135,train_oof,0.04567261562,False
26,0,0.06591293036,train_oof,0.02784712497,train_oof,0.1741508348,False
27,0,0.3529940327,train_oof,0.1106769891,train_oof,0.623296872,False
28,0,0.02157394287,train_oof,0.01455104402,train_oof,0.08222989829,False
29,0,0.02832129278,train_oof,0.01206463171,train_oof,0.09834964498,False
30,0,0.1711645739,train_oof,0.4491044425,train_oof,0.3359240069,False
31,0,0.03332346754,train_oof,0.02426544682,train_oof,0.1103435041,False
32,0,0.08330926676,train_oof,0.04573173882,train_oof,0.2022644406,False
33,0,0.1670719802,train_oof,0.04406759287,train_oof,0.3293033967,False
34,0,0.05109015998,train_oof,0.03680416112,train_oof,0.1465169833,False
35,0,0.1707233554,train_oof,0.04644059534,train_oof,0.3349644982,False
36,0,0.1995694844,train_oof,0.08010776955,train_oof,0.3801573594,False
37,0,0.0678589869,train_oof,0.04427675566,train_oof,0.1775091153,False
38,0,0.2636594693,train_oof,0.157711689,train_oof,0.4788908079,False
39,0,0.0233927409,test_holdout,0.02464014067,test_holdout,0.0872193437,False
40,0,0.3132644422,train_oof,0.07675684272,train_oof,0.5591057379,False
41,0,0.4763507321,train_oof,0.2163509201,train_oof,0.8136634043,False
42,0,0.07068862234,train_oof,0.0430128489,train_oof,0.1814431011,False
43,0,0.307413943,train_oof,0.08780494554,train_oof,0.5505661102,False
44,0,0.04591769279,train_oof,0.02993654081,train_oof,0.1380733065,False
45,0,0.0666388674,train_oof,0.03128417775,train_oof,0.175494147,False
46,0,0.3745092728,train_oof,0.1332274931,train_oof,0.6610055652,False
47,0,0.1373341858,train_oof,0.09536519693,train_oof,0.2842064863,False
48,0,0.03475824071,train_oof,0.02439764434,train_oof,0.1138936864,False
49,0,0.2374945449,train_oof,0.09859503005,train_oof,0.4374400307,False
50,0,0.005690415922,train_oof,0.01054532529,train_oof,0.02341201305,False
51,0,0.003486885338,train_oof,0.00675338459,train_oof,0.01237766264,False
52,0,0.07411839172,train_oof,0.03426606591,train_oof,0.1890232201,False
53,0,0.05659358242,train_oof,0.05486807235,train_oof,0.1571675302,False
54,0,0.05484240334,train_oof,0.02418996346,train_oof,0.1540011514,False
55,0,0.08519486519,test_holdout,0.05175338542,test_holdout,0.2048551142,False
56,0,0.02118337444,test_holdout,0.02084588668,test_holdout,0.08117443869,False
57,0,0.003145574062,train_oof,0.006626860205,train_oof,0.01045864517,False
58,0,0.3923632603,train_oof,0.7128257164,train_oof,0.6869123009,False
59,0,0.02248785662,train_oof,0.0196105198,train_oof,0.08501247361,False
60,0,0.2249592509,train_oof,0.1216001319,train_oof,0.4178660526,False
61,0,0.05798286543,test_holdout,0.03008462103,test_holdout,0.1601420073,False
62,0,0.04076803418,train_oof,0.02628688391,train_oof,0.1264632508,False
63,0,0.3861045637,train_oof,0.6064252239,train_oof,0.6790443293,False
64,0,0.4728968034,train_oof,0.1374785884,train_oof,0.8089618116,False
65,0,0.002893056049,test_holdout,0.009837120061,test_holdout,0.009211283823,False
66,1,0.2890230876,test_holdout,0.6909829143,test_holdout,,False
67,0,0.3358205232,train_oof,0.2177419211,train_oof,0.5943197083,False
68,0,0.009179660895,train_oof,0.006051180883,train_oof,0.03991556323,False
69,0,0.3105122559,train_oof,0.07868276555,train_oof,0.5551717521,False
70,0,0.00732381089,train_oof,0.006138830499,train_oof,0.03243139513,False
71,0,0.03892519847,train_oof,0.04238786197,train_oof,0.1227211668,False
72,0,0.07396645033,train_oof,0.05125517355,train_oof,0.1885434657,False
73,0,0.009048916712,train_oof,0.01005860247,train_oof,0.03962771061,False
74,0,0.3574313503,test_holdout,0.1480081101,test_holdout,0.631644598,False
75,0,0.06709754635,train_oof,0.02033495805,train_oof,0.176261754,False
76,0,0.2192749795,test_holdout,0.06180923002,test_holdout,0.4098061792,False
