Scenario,ScenarioName,Model,ModelName,Feature,ImportanceValue,AbsoluteImportance,Direction,ImportanceType
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,ExitRates,-1.042618485,1.042618485,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,ProductRelated_Duration,0.4931704382,0.4931704382,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Month_Nov,0.4501332961,0.4501332961,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_13,-0.4262315494,0.4262315494,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Month_Mar,-0.425153597,0.425153597,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_3,-0.3754411647,0.3754411647,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Month_Feb,-0.3712501741,0.3712501741,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_20,0.3097296366,0.3097296366,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_8,0.3046179752,0.3046179752,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_1,-0.2879873451,0.2879873451,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Month_Sep,0.2801687399,0.2801687399,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,VisitorType_Returning_Visitor,-0.2636544828,0.2636544828,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Month_Oct,0.2587184287,0.2587184287,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Month_Dec,-0.244412833,0.244412833,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,OperatingSystems_3,-0.2412822821,0.2412822821,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_3,-0.2221277124,0.2221277124,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Administrative_Duration,0.1834718408,0.1834718408,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,SpecialDay,-0.1695249716,0.1695249716,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_7,-0.1591828425,0.1591828425,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_6,-0.1534327225,0.1534327225,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_10,0.1523563453,0.1523563453,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Month_May,-0.1521441362,0.1521441362,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,OperatingSystems_1,-0.1456317732,0.1456317732,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_15,-0.1422010027,0.1422010027,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Weekend_False,-0.1411144721,0.1411144721,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,OperatingSystems_2,0.1395096514,0.1395096514,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Month_Aug,0.1336016854,0.1336016854,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_12,0.1317541792,0.1317541792,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_5,0.1297006998,0.1297006998,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_13,0.1294607996,0.1294607996,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_10,0.1222952989,0.1222952989,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_2,-0.1134100442,0.1134100442,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_7,0.112528564,0.112528564,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_2,0.1062351576,0.1062351576,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_6,-0.1041305973,0.1041305973,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Region_2,0.1026357117,0.1026357117,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Month_June,-0.1020941275,0.1020941275,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_11,0.09912316054,0.09912316054,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Region_9,-0.09497902208,0.09497902208,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_8,-0.09308140608,0.09308140608,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,VisitorType_New_Visitor,0.08566771404,0.08566771404,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_1,0.07617795795,0.07617795795,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,ProductRelated,-0.07419959941,0.07419959941,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Browser_5,0.07141062321,0.07141062321,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_4,0.06493307178,0.06493307178,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Region_3,-0.05747199847,0.05747199847,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,TrafficType_18,-0.04873099285,0.04873099285,negative,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,OperatingSystems_4,0.04238782374,0.04238782374,positive,standardized_coefficient
early_propensity,早期购买倾向模型,logistic_regression,逻辑回归,Informational,0.04222376134,0.04222376134,positive,standardized_coefficient
