SessionID,RevenueFlag,EarlyPropensityScore,EarlyDecisionThreshold,EarlyPredictedPurchase,LatePropensityScore,LateDecisionThreshold,LatePredictedPurchase,EarlyPropensityPercentileAmongUnpurchased,HighPotentialTop10Percent
1,0,0.002156394232,0.439818181,0,0.002238453042,0.5570019246,0,0.01093839954,False
2,0,0.04329387459,0.439818181,0,0.02144220928,0.5570019246,0,0.1410477835,False
3,0,0.008038528334,0.439818181,0,0.002812843117,0.5570019246,0,0.03962771061,False
4,0,0.02542376478,0.439818181,0,0.0121992584,0.5570019246,0,0.09796584149,False
5,0,0.09236033323,0.439818181,0,0.05786640054,0.5570019246,0,0.2341201305,False
6,0,0.08091866228,0.439818181,0,0.02767021966,0.5570019246,0,0.2145461524,False
7,0,0.008071699224,0.439818181,0,0.009054106177,0.5570019246,0,0.03972366149,False
8,0,0.1273155894,0.439818181,0,0.1567356436,0.5570019246,0,0.2915947035,False
9,0,0.01120288803,0.439818181,0,0.008553895827,0.5570019246,0,0.05382843984,False
10,0,0.1967255492,0.439818181,0,0.08088000066,0.5570019246,0,0.4078871618,False
11,0,0.09674454764,0.439818181,0,0.07147149856,0.5570019246,0,0.2406447899,False
12,0,0.08350678594,0.439818181,0,0.04051928465,0.5570019246,0,0.2188639417,False
13,0,0.0731593556,0.439818181,0,0.01528873776,0.5570019246,0,0.2000575705,False
14,0,0.08118405773,0.439818181,0,0.0333813109,0.5570019246,0,0.2152178085,False
15,0,0.01366156431,0.439818181,0,0.006152249664,0.5570019246,0,0.06208021493,False
16,0,0.2333110996,0.439818181,0,0.07237610006,0.5570019246,0,0.4713106889,False
17,0,0.005033315902,0.439818181,0,0.00492117104,0.5570019246,0,0.02619458837,False
18,0,0.2324883439,0.439818181,0,0.06964051529,0.5570019246,0,0.4701592784,False
19,0,0.009523129968,0.439818181,0,0.009791191997,0.5570019246,0,0.045384763,False
20,0,0.2311189443,0.439818181,0,0.05854441925,0.5570019246,0,0.4670888505,False
21,0,0.1876339925,0.439818181,0,0.07913829859,0.5570019246,0,0.3907119555,False
22,0,0.0141833126,0.439818181,0,0.01138046005,0.5570019246,0,0.06371137977,False
23,0,0.0693684493,0.439818181,0,0.05925337751,0.5570019246,0,0.1942045673,False
24,0,0.01500608064,0.439818181,0,0.004396923821,0.5570019246,0,0.06745346383,False
25,0,0.004136570884,0.439818181,0,0.00400441251,0.5570019246,0,0.02245250432,False
26,0,0.02450847628,0.439818181,0,0.0230455763,0.5570019246,0,0.0961427749,False
27,0,0.3710093612,0.439818181,0,0.07764883551,0.5570019246,0,0.7294185377,False
28,0,0.009815624902,0.439818181,0,0.008956397568,0.5570019246,0,0.0468240261,False
29,0,0.01571452451,0.439818181,0,0.01219843153,0.5570019246,0,0.06908462867,False
30,0,0.1263513368,0.439818181,0,0.4686723267,0.5570019246,0,0.2897716369,False
31,0,0.0163628755,0.439818181,0,0.01425927652,0.5570019246,0,0.07215505661,False
32,0,0.06665244433,0.439818181,0,0.04401867424,0.5570019246,0,0.1887353675,False
33,0,0.09909490741,0.439818181,0,0.02023970408,0.5570019246,0,0.244290923,False
34,0,0.04463591018,0.439818181,0,0.01816006256,0.5570019246,0,0.1441182115,False
35,0,0.1340768981,0.439818181,0,0.02620733017,0.5570019246,0,0.3030128574,False
36,0,0.182728995,0.439818181,0,0.04043409405,0.5570019246,0,0.3828439839,False
37,0,0.1007176458,0.439818181,0,0.05572448053,0.5570019246,0,0.2469775475,False
38,0,0.2823047949,0.439818181,0,0.14047966,0.5570019246,0,0.5626559202,False
39,0,0.04108286026,0.439818181,0,0.03914423191,0.5570019246,0,0.136921896,False
40,0,0.289355343,0.439818181,0,0.07675871636,0.5570019246,0,0.5752254846,False
41,0,0.4057001392,0.439818181,0,0.158552679,0.5570019246,0,0.7847821915,False
42,0,0.03092544586,0.439818181,0,0.03546946268,0.5570019246,0,0.1120706198,False
43,0,0.2327247307,0.439818181,0,0.07135734688,0.5570019246,0,0.4707349837,False
44,0,0.04109567299,0.439818181,0,0.02517615128,0.5570019246,0,0.1370178469,False
45,0,0.05181881315,0.439818181,0,0.01142502793,0.5570019246,0,0.1589905968,False
46,0,0.2656541868,0.439818181,0,0.07928757932,0.5570019246,0,0.5333909039,False
47,0,0.1097122999,0.439818181,0,0.08994270881,0.5570019246,0,0.2631932451,False
48,0,0.02496562472,0.439818181,0,0.02259590631,0.5570019246,0,0.09643062752,False
49,0,0.2626209166,0.439818181,0,0.1076901965,0.5570019246,0,0.5279217041,False
50,0,0.009764144377,0.439818181,0,0.009123682408,0.5570019246,0,0.04663212435,False
51,0,0.004982636621,0.439818181,0,0.007192257009,0.5570019246,0,0.02600268662,False
52,0,0.05478665956,0.439818181,0,0.01796350439,0.5570019246,0,0.1631164844,False
53,0,0.05806719798,0.439818181,0,0.04667003086,0.5570019246,0,0.1716561121,False
54,0,0.06190614653,0.439818181,0,0.03214664974,0.5570019246,0,0.1796200345,False
55,0,0.07540887694,0.439818181,0,0.03076462815,0.5570019246,0,0.2044713107,False
56,0,0.01461028497,0.439818181,0,0.0162729552,0.5570019246,0,0.06524659374,False
57,0,0.01205338986,0.439818181,0,0.0112983756,0.5570019246,0,0.05728267127,False
58,0,0.4057338438,0.439818181,0,0.6558552363,0.5570019246,1,0.7849740933,False
59,0,0.02675020294,0.439818181,0,0.009746729872,0.5570019246,0,0.1016119747,False
60,0,0.2365072157,0.439818181,0,0.1203685707,0.5570019246,0,0.4770677413,False
61,0,0.04058280274,0.439818181,0,0.02838199668,0.5570019246,0,0.1358664364,False
62,0,0.02920353099,0.439818181,0,0.02221481562,0.5570019246,0,0.1071771253,False
63,0,0.32104164,0.439818181,0,0.5169786892,0.5570019246,0,0.6386490117,False
64,0,0.3938089211,0.439818181,0,0.1094282599,0.5570019246,0,0.7674150835,False
65,0,0.006127749963,0.439818181,0,0.008566052917,0.5570019246,0,0.03185568989,False
66,1,0.5390926551,0.439818181,1,0.817799766,0.5570019246,1,,False
67,0,0.3332106047,0.439818181,0,0.1848771063,0.5570019246,0,0.6607177125,False
68,0,0.002635942689,0.439818181,0,0.0009033853183,0.5570019246,0,0.01372097486,False
69,0,0.2757916494,0.439818181,0,0.05034369662,0.5570019246,0,0.5497025523,False
70,0,0.01215519206,0.439818181,0,0.01161086998,0.5570019246,0,0.05747457302,False
71,0,0.01630463208,0.439818181,0,0.01719117817,0.5570019246,0,0.07177125312,False
72,0,0.05639924249,0.439818181,0,0.0297559264,0.5570019246,0,0.1675302245,False
73,0,0.006516695048,0.439818181,0,0.003607539313,0.5570019246,0,0.03463826521,False
74,0,0.3134297332,0.439818181,0,0.1282742201,0.5570019246,0,0.6241604299,False
75,0,0.05044361467,0.439818181,0,0.02120470366,0.5570019246,0,0.1553444636,False
76,0,0.1607131699,0.439818181,0,0.04199934381,0.5570019246,0,0.3454231434,False
77,1,0.6327304959,0.439818181,1,0.7196843805,0.5570019246,1,,False
78,0,0.01985365794,0.439818181,0,0.009837035506,0.5570019246,0,0.08376511226,False
79,0,0.006170323815,0.439818181,0,0.002566240941,0.5570019246,0,0.03262329687,False
80,0,0.00138990382,0.439818181,0,0.0007228995487,0.5570019246,0,0.006044905009,False
81,0,0.1650954115,0.439818181,0,0.07753288943,0.5570019246,0,0.3522356553,False
82,0,0.06330300257,0.439818181,0,0.01602330981,0.5570019246,0,0.1816350029,False
83,0,0.08552030381,0.439818181,0,0.03787125752,0.5570019246,0,0.2221262713,False
84,0,0.1349629014,0.439818181,0,0.04737847446,0.5570019246,0,0.3041642679,False
85,0,0.002980738756,0.439818181,0,0.005303278189,0.5570019246,0,0.01496833621,False
86,0,0.00091601506,0.439818181,0,0.001686338345,0.5570019246,0,0.0019669929,False
87,0,0.01624739723,0.439818181,0,0.0206290738,0.5570019246,0,0.0714834005,False
88,0,0.03644282999,0.439818181,0,0.02903307612,0.5570019246,0,0.1270389561,False
89,0,0.0795577673,0.439818181,0,0.02927510682,0.5570019246,0,0.2114757244,False
90,0,0.3012975632,0.439818181,0,0.06185255533,0.5570019246,0,0.6003646133,False
91,0,0.2071620022,0.439818181,0,0.1000473991,0.5570019246,0,0.4268854347,False
92,0,0.01242079221,0.439818181,0,0.008086347375,0.5570019246,0,0.05833813088,False
93,0,0.01597209751,0.439818181,0,0.007363308456,0.5570019246,0,0.07023603915,False
94,0,0.6410029996,0.439818181,1,0.2564128926,0.5570019246,0,0.9762041835,True
95,0,0.1061965515,0.439818181,0,0.03467060258,0.5570019246,0,0.2562847822,False
96,0,0.01325517583,0.439818181,0,0.004241821671,0.5570019246,0,0.06083285358,False
97,0,0.03435530861,0.439818181,0,0.02510789297,0.5570019246,0,0.1214738054,False
98,0,0.08344596975,0.439818181,0,0.03359326998,0.5570019246,0,0.2184801382,False
99,0,0.05502456218,0.439818181,0,0.06089846128,0.5570019246,0,0.1640759931,False
100,0,0.1520505622,0.439818181,0,0.05916289659,0.5570019246,0,0.3310305124,False
101,0,0.3810163849,0.439818181,0,0.1617504777,0.5570019246,0,0.7483208597,False
102,1,0.5773538514,0.439818181,1,0.7796968062,0.5570019246,1,,False
103,0,0.1173612925,0.439818181,0,0.07339679567,0.5570019246,0,0.2767223182,False
104,0,0.3430896947,0.439818181,0,0.09741426617,0.5570019246,0,0.6785645749,False
105,0,0.2263334869,0.439818181,0,0.09205930674,0.5570019246,0,0.4578775667,False
106,0,0.01923258743,0.439818181,0,0.008500027721,0.5570019246,0,0.08194204567,False
107,0,0.04367996717,0.439818181,0,0.04968626349,0.5570019246,0,0.1417194396,False
108,0,0.033109428,0.439818181,0,0.02677233425,0.5570019246,0,0.1176357705,False
109,0,0.03630881418,0.439818181,0,0.03300236742,0.5570019246,0,0.1264632508,False
110,0,0.3629086415,0.439818181,0,0.1979327641,0.5570019246,0,0.7145461524,False
111,0,0.05684828063,0.439818181,0,0.02329508342,0.5570019246,0,0.168681635,False
112,0,0.006225475239,0.439818181,0,0.01316302733,0.5570019246,0,0.03319900211,False
113,0,0.003382185795,0.439818181,0,0.002303820246,0.5570019246,0,0.01794281328,False
114,0,0.2253870699,0.439818181,0,0.0967770142,0.5570019246,0,0.4566302053,False
115,0,0.1783440013,0.439818181,0,0.06307548614,0.5570019246,0,0.3749760123,False
116,0,0.2173850066,0.439818181,0,0.06607300794,0.5570019246,0,0.4439646901,False
117,0,0.1851438788,0.439818181,0,0.06780220686,0.5570019246,0,0.3859144118,False
118,0,0.1083345462,0.439818181,0,0.04011407878,0.5570019246,0,0.2606025715,False
119,0,0.05488753444,0.439818181,0,0.02835319538,0.5570019246,0,0.1637881405,False
120,0,0.05799946865,0.439818181,0,0.04348435736,0.5570019246,0,0.1714642103,False
